,Model,Workers,ETA Time,Train Accuracy,Test Accuracy,Real Time
0,EfficientNet B0,1,300.0,0.9415,,150.0
1,EfficientNet B0,1,285.0,0.9415,,150.0
2,EfficientNet B0,1,270.0,0.9415,,150.0
3,EfficientNet B0,1,210.0,0.9415,,150.0
4,EfficientNet B0,1,210.0,0.9415,,150.0
5,EfficientNet B0,1,195.0,0.9415,,150.0
6,EfficientNet B0,1,195.0,0.9415,,150.0
7,EfficientNet B0,1,195.0,0.9415,,150.0
8,EfficientNet B0,1,195.0,0.9415,,150.0
0,EfficientNet B0,2,200.0,0.9459,,150.0
1,EfficientNet B0,2,184.0,0.9459,,150.0
2,EfficientNet B0,2,152.0,0.9459,,150.0
3,EfficientNet B0,2,136.0,0.9459,,150.0
4,EfficientNet B0,2,136.0,0.9459,,150.0
5,EfficientNet B0,2,144.0,0.9459,,150.0
6,EfficientNet B0,2,144.0,0.9459,,150.0
0,EfficientNet B0,4,60.0,0.9162,0.7494000196456909,52.0
1,EfficientNet B0,4,44.0,0.9162,0.7494000196456909,52.0
2,EfficientNet B0,4,56.0,0.9162,0.7494000196456909,52.0
0,EfficientNet B0,8,32.0,0.8802,0.7299000024795532,33.0
0,EfficientNet B0,11,22.0,0.8905,0.7174999713897705,23.0
0,ResNet50,1,2115.0,0.7043,,150.0
0,ResNet50,2,1408.0,0.593,,150.0
0,ResNet50,4,504.0,0.8697,,150.0
0,ResNet50,8,250.0,0.8744,,150.0
0,ResNet50,11,200.0,0.8123,,150.0
0,MyModel,1,100.0,0.885,0.7357000112533569,101.0
1,MyModel,1,100.0,0.885,0.7357000112533569,101.0
2,MyModel,1,100.0,0.885,0.7357000112533569,101.0
3,MyModel,1,100.0,0.885,0.7357000112533569,101.0
4,MyModel,1,100.0,0.885,0.7357000112533569,101.0
5,MyModel,1,75.0,0.885,0.7357000112533569,101.0
6,MyModel,1,100.0,0.885,0.7357000112533569,101.0
7,MyModel,1,100.0,0.885,0.7357000112533569,101.0
8,MyModel,1,100.0,0.885,0.7357000112533569,101.0
9,MyModel,1,75.0,0.885,0.7357000112533569,101.0
10,MyModel,1,75.0,0.885,0.7357000112533569,101.0
11,MyModel,1,75.0,0.885,0.7357000112533569,101.0
12,MyModel,1,75.0,0.885,0.7357000112533569,101.0
13,MyModel,1,75.0,0.885,0.7357000112533569,101.0
14,MyModel,1,75.0,0.885,0.7357000112533569,101.0
15,MyModel,1,75.0,0.885,0.7357000112533569,101.0
16,MyModel,1,75.0,0.885,0.7357000112533569,101.0
17,MyModel,1,75.0,0.885,0.7357000112533569,101.0
18,MyModel,1,75.0,0.885,0.7357000112533569,101.0
19,MyModel,1,75.0,0.885,0.7357000112533569,101.0
20,MyModel,1,75.0,0.885,0.7357000112533569,101.0
21,MyModel,1,75.0,0.885,0.7357000112533569,101.0
22,MyModel,1,75.0,0.885,0.7357000112533569,101.0
23,MyModel,1,75.0,0.885,0.7357000112533569,101.0
0,MyModel,2,78.0,0.8668,0.7109000086784363,71.0
1,MyModel,2,78.0,0.8668,0.7109000086784363,71.0
2,MyModel,2,78.0,0.8668,0.7109000086784363,71.0
3,MyModel,2,78.0,0.8668,0.7109000086784363,71.0
4,MyModel,2,65.0,0.8668,0.7109000086784363,71.0
5,MyModel,2,65.0,0.8668,0.7109000086784363,71.0
6,MyModel,2,65.0,0.8668,0.7109000086784363,71.0
7,MyModel,2,52.0,0.8668,0.7109000086784363,71.0
8,MyModel,2,52.0,0.8668,0.7109000086784363,71.0
9,MyModel,2,52.0,0.8668,0.7109000086784363,71.0
10,MyModel,2,52.0,0.8668,0.7109000086784363,71.0
11,MyModel,2,52.0,0.8668,0.7109000086784363,71.0
0,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
1,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
2,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
3,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
4,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
5,MyModel,4,28.0,0.8187,0.6851000189781189,31.0
0,MyModel,8,16.0,0.748,0.6489999890327454,19.0
1,MyModel,8,20.0,0.748,0.6489999890327454,19.0
2,MyModel,8,12.0,0.748,0.6489999890327454,19.0
0,MyModel,11,21.0,0.6868,0.4918000102043152,16.0
1,MyModel,11,9.0,0.6868,0.4918000102043152,16.0
